Land 1
snow Tilesets/snow.png
Roads 15
a Tilesets/asphalt.png
aswhrdln Tilesets/asphalt_with_roadline_left.png
aswhrdlnt Tilesets/asphalt_with_roadline_turn.png
swhrdlnti Tilesets/asphalt_with_roadline_turn_inside.png
aswhrdlnc1 Tilesets/asphalt_with_roadlinecenter1.png
aswhrdlnct Tilesets/asphalt_with_roadlinecenter_turn.png
aswhrdlncc Tilesets/asphalt_with_roadlinecenter_crossroads.png
c Tilesets/cross.png
h Tilesets/road_horizontal.png
H Tilesets/road_horizontal2.png
sdwdir3 Tilesets/sidewalk3dir.png
v Tilesets/road_vertical.png
V Tilesets/road_vertical2.png
l Tilesets/turn_left.png
r Tilesets/turn_right.png
